title,date,number
Christmas Spectacular: ‘The Christmas House’ with Esquire’s Justin Kirkland,2020-12-25T00:00:00+00:00,174
‘This Christmas’ and All Those Dang New Disney Titles,2020-12-18T00:00:00+00:00,173
‘Mank’ You Very Much with ‘The Thrilling Adventure Hour’ Co-Creator Ben Acker,2020-12-11T00:00:00+00:00,172
‘Happiest Season’ with Jordan Crucchiola,2020-12-04T00:00:00+00:00,171
‘The World’s End’ and Turkeys of the Year,2020-11-27T00:00:00+00:00,170
‘Hot Fuzz’ with Ricky Carmona,2020-11-20T00:00:00+00:00,169
‘Shaun of the Dead’ with Screenwriter Michael Varrati,2020-11-13T00:00:00+00:00,168
‘Bad Hair’ with Inkoo Kang,2020-11-06T00:00:00+00:00,167
The Halloweenies vs. The Horror Freaks: ‘The Witches’ with Halle Kiefer & Alison Leiby of ‘Ruined’ Podcast,2020-10-30T00:00:00+00:00,166
‘Kajillionaire’ with TV Writer and ‘Dummy’ Creator Cody Heller,2020-10-23T00:00:00+00:00,165
“White Man With a Black Woman’s Butt” and ‘The Forty-Year-Old Version’,2020-10-16T00:00:00+00:00,164
The Boys Are Back to Banter ‘Bout ‘The Boys in the Band’,2020-10-09T00:00:00+00:00,163
‘Enola Holmes’ and How to Watch Depressing Movies,2020-10-02T00:00:00+00:00,162
‘Lingua Franca’ with Myq Kaplan,2020-09-25T00:00:00+00:00,161
‘I’m Thinking of Ending Things’ with the Incomparable Inkoo Kang,2020-09-18T00:00:00+00:00,160
‘Mulan’ with Nancy Wang Yuen,2020-09-11T00:00:00+00:00,159
‘Bill & Ted Face the Music’ with Cody Ziglar,2020-09-04T00:00:00+00:00,158
‘Before Midnight’ with Director Richard Linklater,2020-08-28T00:00:00+00:00,157
‘Before Sunset’ and Its Video Game Adaptation with Dave Schilling,2020-08-21T00:00:00+00:00,156
‘Before Sunrise’ with Michelle Biloon,2020-08-14T00:00:00+00:00,155
‘Ghost’ with Nicole Byer,2020-08-07T00:00:00+00:00,154
‘Adventures in Babysitting’ with Paul Scheer,2020-07-31T00:00:00+00:00,153
The 25th Anniversary of ‘Clueless’ with Erinn Hayes,2020-07-24T00:00:00+00:00,152
‘The Old Guard’ with The Old Gang,2020-07-17T00:00:00+00:00,151
‘Hamilton’ and Film Industry Reparations,2020-07-10T00:00:00+00:00,150
‘Gremlins 2: The New Batch’ with Leonard Maltin,2020-07-03T00:00:00+00:00,149
‘Da 5 Bloods’ with Da 3 WSY Hosts and Demi Adejuyigbe,2020-06-26T00:00:00+00:00,148
Marisa To-Bae and ‘The King of Staten Island’,2020-06-19T00:00:00+00:00,147
Fast Cast Part 4: ‘Furious 7’ vs. ‘The Fate of the Furious’ with Allegra Ringo,2020-06-12T00:00:00+00:00,146
Fast Cast Part 3: ‘Fast Five’ vs. 'Fast & Furious 6' with Jon Gabrus,2020-06-05T00:00:00+00:00,145
Fast Cast Part 2: ‘The Fast and the Furious: Tokyo Drift’ vs. ‘Fast & Furious’ with Matt Apodaca,2020-05-29T00:00:00+00:00,144
Fast Cast Part 1: ‘The Fast and the Furious’ and ‘2 Fast 2 Furious’ with MST3K’s Mary Jo Pehl,2020-05-22T00:00:00+00:00,143
‘Driveways’ and Movies We Saw WAY Too Young with Myq Kaplan,2020-05-15T00:00:00+00:00,142
'How to Build a Girl' and One Location Films with Elizabeth Laime,2020-05-08T00:00:00+00:00,141
‘The Half of It’ and Quarantine Roommate Draft,2020-05-01T00:00:00+00:00,140
'Your Name' and Anime Culture with Dani Fernandez,2020-04-24T00:00:00+00:00,139
‘Tigertail’ and Contentious Film Recommendations,2020-04-17T00:00:00+00:00,138
'Never Rarely Sometimes Always' with 'Call Your Girlfriend' Host Ann Friedman,2020-04-10T00:00:00+00:00,137
"'Crip Camp' and ""This Is Your Movie Life"" with IndieWire's Kristen Lopez",2020-04-03T00:00:00+00:00,136
‘The Hunt’ and the Return of the Buff Black Nerd,2020-03-27T00:00:00+00:00,135
RETRO REWIND! ‘Dr. Strangelove’ with Director Barry Sonnenfeld,2020-03-20T00:00:00+00:00,134
The Last Word on ‘First Cow’ with Lucé Tomlin-Brenner,2020-03-13T00:00:00+00:00,133
‘The Invisible Man’ with Moujan Zolfaghari of ‘Mission to Zyxx’,2020-03-06T00:00:00+00:00,132
RETRO REWIND! ‘Joe Versus the Volcano’,2020-02-28T00:00:00+00:00,131
Portrait of a Drea on Fire,2020-02-21T00:00:00+00:00,130
‘Birds of Prey’ with ‘Shadow of the Batgirl’ Writer Sarah Kuhn,2020-02-14T00:00:00+00:00,129
‘The Rhythm Section’ and Ify’s Review of the ‘F9’ Trailer,2020-02-07T00:00:00+00:00,128
‘Dolemite Is My Name’ with The One and Only Ricky Carmona,2020-01-31T00:00:00+00:00,127
‘Dolittle’ and the Best/Worst Flops with Jordan Crucchiola,2020-01-24T00:00:00+00:00,126
‘1917’ and Other Long Takes with Director and Cinematographer Benjamin Kasulke,2020-01-17T00:00:00+00:00,125
‘Parasite’ and Our Unwanted American Remake,2020-01-10T00:00:00+00:00,124
‘Marriage Story’ and the Most Memorable On-Screen Couples with Writer/Director Todd Berger,2020-01-03T00:00:00+00:00,123
End of the Year Special!,2019-12-27T00:00:00+00:00,122
X-Mas Bonanza! 'Scrooged' and Alonso's 'Top 5 Christmas Movies of the Year' with Special Guest Santa Claus,2019-12-20T00:00:00+00:00,121
‘Queen & Slim’ and a Chat with April Wolfe About ‘Black Christmas’,2019-12-13T00:00:00+00:00,120
‘Knives Out’ and the Return of Inkoo Kang,2019-12-06T00:00:00+00:00,119
‘The Irishman’ and Our “Turkeys of the Year”,2019-11-29T00:00:00+00:00,118
'Charlie’s Angels’ and Remaking Movies Correctly with Artemis Pebdani,2019-11-22T00:00:00+00:00,117
"'Last Christmas' and Getting to the Bottom of ""Maclunkey"" with Matthew D'Ambrosio",2019-11-15T00:00:00+00:00,116
'Terminator: Dark Fate' with Cecil Castellucci,2019-11-08T00:00:00+00:00,115
'Jojo Rabbit' and the Return of the Christmas Zaddy,2019-11-01T00:00:00+00:00,114
Halloween Spooktacular - 'Tales from the Hood' with Lucé Tomlin-Brenner and Joelle Monique,2019-10-25T00:00:00+00:00,113
Pedro Almodóvar's 'Pain & Glory' with Ira Madison III,2019-10-18T00:00:00+00:00,112
"'Joker' & Other ""Dangerous Films""",2019-10-11T00:00:00+00:00,111
'Judy' with The Incomparable Louis Virtel,2019-10-04T00:00:00+00:00,110
'Rambo: Last Blood' and Our Favorite Autumn Films,2019-09-27T00:00:00+00:00,109
'Hustlers' and Our Favorite Wedding Movies with Writer Joelle Monique,2019-09-20T00:00:00+00:00,108
Send In The Clowns! - The Gang Talks 'IT Chapter Two' and Remakes 'Face/Off' with Amber Benson,2019-09-13T00:00:00+00:00,107
Dances with Avatars - The Gang Talks 'Avatar' and Their Favorite Sexy Movies,2019-09-06T00:00:00+00:00,106
'They Live' with Danielle Radford,2019-08-30T00:00:00+00:00,105
The Boys Are Alright - 'Good Boys' with Ryan Stanger,2019-08-23T00:00:00+00:00,104
Scare The Children! - 'Scary Stories to Tell in the Dark' and the Best Decade For Horror with Lucé Tomlin-Brenner,2019-08-16T00:00:00+00:00,103
Justice For Han! - 'Fast & Furious Presents: Hobbs & Shaw' with William Bibbiani and Jen Yamato,2019-08-09T00:00:00+00:00,102
'Once Upon a Time In Hollywood' and Sometimes It Snows In April,2019-08-02T00:00:00+00:00,101
'The Farewell' and a Comic-Con Recap,2019-07-26T00:00:00+00:00,100
The 20th Anniversary of 'Eyes Wide Shut' with Ben Mekler,2019-07-19T00:00:00+00:00,99
'Spider-Man: Far From Home' with Steve Hernandez,2019-07-12T00:00:00+00:00,98
"'Yesterday', Ify Gets Grilled, and Tween-Friendly Queer Cinema with Laura Sirikul",2019-07-05T00:00:00+00:00,97
'Toy Story 4' and The Making of a Great Summer Movie with Yolanda Machado,2019-06-28T00:00:00+00:00,96
"'Men in Black: International', Troubled Productions, and Our Favorite Movie Posters with Julia Prescott",2019-06-21T00:00:00+00:00,95
'Dark Phoenix' with Rachel Wenitsky and Kimberly Clark,2019-06-14T00:00:00+00:00,94
'Always Be My Maybe' with Atsuko Okatsu and Ify Nwadiwe,2019-06-07T00:00:00+00:00,93
'Booksmart' with Guest Host Ellington Wells,2019-05-31T00:00:00+00:00,92
'John Wick: Chapter 3 – Parabellum' and The Directors We First Loved with Special Guest Host Dwayne Perkins,2019-05-24T00:00:00+00:00,91
'Pokémon Detective Pikachu' and the Difficulty of Adapting Video Games Into Film with Special Guest Host Ify Nwadiwe,2019-05-17T00:00:00+00:00,90
'Long Shot' with Special Guest Host Brodie Reed and TV Writer Brendan Hay,2019-05-10T00:00:00+00:00,89
'Avengers: Endgame' and Fond Farewells,2019-05-03T00:00:00+00:00,88
Living That 'High Life' and The Stereotypical Favorite Movies of Millenials with 'The New Negroes' Head Writer Kevin Avery,2019-04-26T00:00:00+00:00,87
The Gang Gets Buried in the 'Pet Sematary' and Discusses Why There Are So Many Horror Remakes,2019-04-19T00:00:00+00:00,86
Golly! The Gang Discusses 'Shazam!' and The Movies of 1999 with Author Brian Raftery,2019-04-12T00:00:00+00:00,85
Does 'Dumbo' Fly? The Gang Discusses the New Tim Burton Film and the Movies They Loved as Teenagers with Janet Varney,2019-04-05T00:00:00+00:00,84
"I Got 4 on It! The Gang Discusses Jordan Peele's 'Us' and Their Favorite Big, Dumb Action Movies",2019-03-29T00:00:00+00:00,83
A Monster Mash! The Gang Discusses 'A Girl Walks Home Alone at Night' and Underappreciated Monster Movies with Mallory O'Meara,2019-03-22T00:00:00+00:00,82
'Captain Marvel' and the State of Marvel Movies,2019-03-15T00:00:00+00:00,81
"'Greta' and Our Favorite Queer ""Not Queer"" Films with Kristen Lopez",2019-03-08T00:00:00+00:00,80
"'High Flying Bird', Steven Soderbergh, and Our Favorite Movie Worlds with Emily Fleming",2019-03-01T00:00:00+00:00,79
Battling Over 'Alita: Battle Angel' and the First Annual 'Whoshie Awards',2019-02-22T00:00:00+00:00,78
'Leave No Trace' and Hometown Movies,2019-02-15T00:00:00+00:00,77
Great Music Moments in Movies and 'Miss Bala',2019-02-08T00:00:00+00:00,76
Overlooked Genre Film Performances and 'Stan & Ollie',2019-02-01T00:00:00+00:00,75
Walking On Broken 'Glass' and Oscar Nominations with Jared Logan,2019-01-25T00:00:00+00:00,74
Film Floppers and 'Destroyer' with Graham Elwood,2019-01-18T00:00:00+00:00,73
We'd Like to Remind the Academy of a Few Things and 'If Beale Street Could Talk',2019-01-11T00:00:00+00:00,72
'Roma' and Casting Your Own Biopics with Cristela Alonzo,2019-01-04T00:00:00+00:00,71
Year-End Bonanza! Top Ten Movie Lists and 2018 in Retrospect,2018-12-28T00:00:00+00:00,70
"Christmas Extravaganza! 'Love Actually', White Elephant, and Dan Thompson from the 'Deck The Hallmark' Podcast",2018-12-21T00:00:00+00:00,69
'Vox Lux' and a Panel Divided with TV Writer Jenny Jaffe,2018-12-14T00:00:00+00:00,68
Why 'Green Book' Made Us Blue with Holly Walker,2018-12-07T00:00:00+00:00,67
'Creed II' and Our Favorite 'Rocky' Movies with CJ Sullivan,2018-11-30T00:00:00+00:00,66
'Widows' and a Call From the 'Who Shotline',2018-11-23T00:00:00+00:00,65
'Overlord' and a Remembrance of Stan Lee,2018-11-16T00:00:00+00:00,64
'Bohemian Rhapsody' and Alonso's Christmas Minute with Film Critic Katie Walsh,2018-11-09T00:00:00+00:00,63
'Suspiria' and Passing The Bechdel Test with Jamie Loftus & Caitlin Durante of 'The Bechdel Cast',2018-11-02T00:00:00+00:00,62
Trick AND Treat: The New 'Halloween' and Getting Quizzed on Horror Movie Taglines with Betsy Sodaro,2018-10-26T00:00:00+00:00,61
We Take Flight with 'First Man' and Discuss The Movies That Scared Us The Most,2018-10-19T00:00:00+00:00,60
'A Star Is Born' and Louis Virtel Goes Gaga Over Jane Fonda Classic 'Barbarella',2018-10-12T00:00:00+00:00,59
We Go to 'Night School' w/ Alison Becker and Chat with Horror & Comedy Legend Lin Shaye,2018-10-05T00:00:00+00:00,58
'The Sisters Brothers' and a Call From Fantastic Fest,2018-09-28T00:00:00+00:00,57
The Predator and Other Problematic Films with Oliver Wang,2018-09-21T00:00:00+00:00,56
Jennifer Garner's 'Peppermint' and Getting the Band Back Together,2018-09-14T00:00:00+00:00,55
"'Destination Wedding' and ""The Who Shot-Line"" with Riley Silverman",2018-09-08T00:00:00+00:00,54
'The Happytime Murders' and All Things Puppets with Helen Hong,2018-09-01T00:00:00+00:00,53
'Crazy Rich Asians' and Whitewashing Cinema with Jenny Yang,2018-08-24T00:00:00+00:00,52
'BlacKkKlansman' and The Filmography of Spike Lee with Brandon Johnson & Baron Vaughn,2018-08-17T00:00:00+00:00,51
'The Spy Who Dumped Me' and Top 5 Comedy Duos with Inkoo Kang,2018-08-10T00:00:00+00:00,50
'Mission: Impossible - Fallout' with Brandon Johnson,2018-08-03T00:00:00+00:00,49
BONUS EPISODE! 'Attack The Block' LIVE at the Dynasty Typewriter theater with Tre'vell Anderson of the LA Times,2018-07-31T00:00:00+00:00,48
Whiteness in Cinema and 'Mamma Mia! Here We Go Again' with Dave Holmes and Tavia Nyong'o,2018-07-27T00:00:00+00:00,47
"Skyscraper, The Rock, and a Commemoration of Poetic Justice with Morgan Rhodes",2018-07-20T00:00:00+00:00,46
"Top 5 Directorial Debuts, Oakland, and 'Sorry to Bother You'",2018-07-13T00:00:00+00:00,45
"4th of July Spectacular: Musicals, Old News and '1776' with All Things Cozy's Matt Piwowarczyk",2018-07-04T00:00:00+00:00,44
Jurassic World: Fallen Kingdom with Jordan Morris,2018-06-29T00:00:00+00:00,43
"Incredibles 2, Pixar, and The State of Queer Cinema",2018-06-22T00:00:00+00:00,42
"Stanning for Regina Hall, Reboots and Ocean's 8 with Bowen Yang & Matt Rogers of Las Culturistas",2018-06-16T00:00:00+00:00,41
Weird Meat and 'Wake In Fright' with Benjamin Partridge,2018-06-08T00:00:00+00:00,40
Movie Tech and 'Solo: A Star Wars Story' with Inkoo Kang,2018-06-01T00:00:00+00:00,39
Deadpool 2 and Adapting Movies Into Video Games with Freddie Wong,2018-05-25T00:00:00+00:00,38
"Home Invasion Films, TV Shows That Turned Into Movies and 'Breaking In' with LaToya Ferguson",2018-05-18T00:00:00+00:00,37
"Movie Mothers, The Talent of Anna Faris, and 'Overboard'",2018-05-11T00:00:00+00:00,36
Avengers: Infinity War,2018-05-04T00:00:00+00:00,35
"Beauty Standards, Unconventional Sexiness, and I Feel Pretty with Dave White",2018-04-27T00:00:00+00:00,34
"Video Game Movies, The Rock, and Rampage with Johnnie Jungleguts and Brady Jandreau",2018-04-20T00:00:00+00:00,33
"""Elevated Horror,"" Movie Etiquette, and A Quiet Place with Inkoo Kang",2018-04-13T00:00:00+00:00,32
"80s Nostalgia, Steven Spielberg, and Ready Player One with Dave Schilling",2018-04-07T00:00:00+00:00,31
Isle of Dogs w/ 'Can I Pet Your Dog?' Hosts Renee Colvert & Allegra Ringo,2018-03-30T00:00:00+00:00,30
Love Simon and Teen Romance in Movies with Grace Baldridge,2018-03-24T00:00:00+00:00,29
"Kids Movies, Ava DuVernay, and A Wrinkle in Time with Drea Clark, Katie Walsh, and Maggie Mackay",2018-03-16T00:00:00+00:00,28
"Dark Comedies, The Oscars, and Game Night with Inkoo Kang",2018-03-10T00:00:00+00:00,27
"Female Protagonists in Sci-Fi, Rhea Butcher, Annihilation, and Oscar Winning Sound Editor Mark Mangini",2018-03-03T00:00:00+00:00,26
Black Panther with Wynter Mitchell & Dave White,2018-02-24T00:00:00+00:00,25
50 Shades Freed & Sex in Cinema with Drea Clark,2018-02-16T00:00:00+00:00,24
"Winchester, Helen Mirren, and Haunted House Hunters",2018-02-09T00:00:00+00:00,23
Cloud Atlas and Our Favorite Films that Other People Hate,2018-02-02T00:00:00+00:00,22
Fashion in Film and Phantom Thread with Drea Clark,2018-01-27T00:00:00+00:00,21
Episode 20 - Proud Mary with Ira Madison III,2018-01-20T00:00:00+00:00,20
Molly's Game with Louis Virtel,2018-01-13T00:00:00+00:00,19
Movies of the Near Future and Downsizing,2018-01-05T00:00:00+00:00,18
Year in Review with Inkoo Kang,2017-12-29T00:00:00+00:00,17
Star Wars: The Last Jedi with Andy Richter and Jen Yamato,2017-12-22T00:00:00+00:00,16
Monster Movies and The Shape of Water w/ Drea Clark,2017-12-15T00:00:00+00:00,15
Ep. 14: Bad Movies and The Disaster Artist with Elliott Kalan,2017-12-08T00:00:00+00:00,14
WWII Movies and Darkest Hour with John Roderick,2017-12-01T00:00:00+00:00,13
Thanksgiving!,2017-11-23T00:00:00+00:00,12
"Who Shot Ya? Episode 11: Three Billboards outside Ebbing, Missouri",2017-11-17T00:00:00+00:00,11
Thor: Ragnarok,2017-11-10T00:00:00+00:00,10
Suburbicon,2017-11-03T00:00:00+00:00,9
Who Shot Ya? Episode 8: Halloween Spooktacular,2017-10-28T00:00:00+00:00,8
Professor Marston and the Wonder Women,2017-10-20T00:00:00+00:00,7
Blade Runner 2049,2017-10-13T00:00:00+00:00,6
American Made,2017-10-06T00:00:00+00:00,5
Kingsman: The Golden Circle with Josie Long and Shea Serrano,2017-09-29T00:00:00+00:00,4
mother!,2017-09-22T00:00:00+00:00,3
Ep 2: It,2017-09-16T00:00:00+00:00,2
Goon: Last of the Enforcers with Jason Jones,2017-09-09T00:00:00+00:00,1